Duracao,HistoricoCredito,Proposito,Valor,Investimentos,Emprego,TempoParcelamento,EstadoCivil,FiadorTerceiros,ResidenciaDesde,Idade,OutrosFinanciamentos,Habitacao,EmprestimoExistente,Profissao,Dependentes,SocioEmpresa,Estrangeiro,Status
12,2,1,2171,2,1.0,2,1,3,2.0,29,1,1.0,1,4,1,0,0,1
12,2,4,1007,4,3.0,4,3,3,1.0,22,3,1.0,1,4,1,0,0,1
36,2,1,2394,1,3.0,4,1,3,4.0,25,3,1.0,1,4,1,0,0,1
12,2,3,1474,2,1.0,4,1,3,3.0,33,1,1.0,1,1,1,1,0,1
36,2,5,6948,2,3.0,2,4,3,2.0,35,3,1.0,1,1,1,1,0,1
48,2,6,4308,2,1.0,3,1,3,4.0,24,3,1.0,1,4,1,0,0,0
6,0,1,1169,1,3.0,4,4,3,4.0,67,3,1.0,2,4,1,1,0,1
36,2,2,1819,2,3.0,4,4,3,4.0,37,2,2.0,1,999,1,1,0,0
30,0,4,5234,2,5.0,4,3,3,2.0,28,3,1.0,2,1,1,0,0,0
36,2,5,8133,2,3.0,1,1,3,2.0,30,1,1.0,1,4,1,0,0,1
7,1,1,730,1,2.0,4,4,3,2.0,46,3,3.0,2,3,1,1,0,1
8,1,9,1164,2,2.0,3,4,3,4.0,51,1,2.0,2,1,2,1,0,1
42,1,6,5954,2,4.0,2,1,3,1.0,41,1,1.0,2,3,1,0,0,1
12,1,5,1526,2,2.0,4,4,3,4.0,66,3,2.0,2,1,1,0,0,1
42,2,1,3965,2,1.0,4,4,3,3.0,34,3,1.0,1,4,1,0,0,0
54,4,5,9436,1,3.0,2,4,3,2.0,39,3,1.0,1,3,2,0,0,1
30,2,3,3832,2,1.0,2,3,3,1.0,22,3,1.0,1,4,1,0,0,1
24,2,1,5943,1,1.0,1,1,3,1.0,44,3,1.0,2,4,1,1,0,0
15,2,1,1213,3,2.0,4,4,3,3.0,47,2,1.0,1,4,1,1,0,1
18,2,6,1568,5,3.0,3,1,3,4.0,24,3,3.0,1,3,1,0,0,1
24,2,9,1755,2,2.0,4,1,4,4.0,58,3,1.0,1,3,1,1,0,1
10,2,1,2315,2,2.0,3,4,3,4.0,52,3,1.0,1,3,1,0,0,1
12,1,6,1412,2,3.0,4,1,4,2.0,29,3,1.0,2,1,1,1,0,1
18,1,3,1295,2,1.0,4,1,3,1.0,27,3,1.0,2,4,1,0,0,1
36,2,2,12612,5,3.0,1,4,3,4.0,47,3,2.0,1,4,2,1,0,0
18,2,4,2249,5,4.0,4,4,3,3.0,30,3,1.0,1,1,2,1,0,1
12,4,8,1108,2,4.0,4,4,3,3.0,28,3,1.0,2,4,1,0,0,0
12,1,1,618,2,2.0,4,4,3,4.0,56,3,1.0,1,4,1,0,0,1
12,1,5,1409,2,2.0,4,4,3,3.0,54,3,1.0,1,4,1,0,0,1
12,1,1,797,1,2.0,4,1,3,3.0,33,1,1.0,1,3,2,0,0,0
24,1,3,3617,1,2.0,4,4,2,4.0,20,3,3.0,2,4,1,0,0,1
54,4,6,15945,2,1.0,3,4,3,4.0,58,3,3.0,1,4,1,1,0,0
12,1,2,2012,1,4.0,4,1,3,2.0,61,3,1.0,1,4,1,0,0,1
18,2,6,2622,5,3.0,4,4,3,4.0,34,3,1.0,1,4,1,0,0,1
36,1,1,2337,2,2.0,4,4,3,4.0,36,3,1.0,1,4,1,0,0,1
20,3,5,7057,1,4.0,3,4,3,4.0,36,1,3.0,2,1,2,1,0,1
24,2,4,1469,5,2.0,4,3,3,4.0,41,3,3.0,1,3,1,0,0,1
36,2,1,2323,2,4.0,4,4,3,4.0,24,3,3.0,1,4,1,0,0,1
6,3,1,932,2,3.0,3,1,3,2.0,24,3,1.0,1,4,1,0,0,1
9,1,3,1919,2,4.0,4,4,3,3.0,35,3,3.0,1,4,1,1,0,1
12,2,5,2445,1,1.0,2,3,3,4.0,26,3,3.0,1,4,1,1,0,1
24,1,9,11938,2,3.0,2,4,1,3.0,39,3,1.0,2,1,2,1,0,0
18,5,4,6458,2,2.0,2,4,3,4.0,39,1,1.0,2,1,2,1,0,0
12,2,4,6078,2,4.0,2,4,3,2.0,32,3,1.0,1,4,1,0,0,1
24,2,3,7721,1,1.0,1,1,3,2.0,30,3,1.0,1,4,1,1,1,1
14,2,6,1410,3,2.0,1,3,3,2.0,35,3,1.0,1,4,1,1,0,1
6,3,6,1449,5,2.0,1,2,3,2.0,31,1,1.0,2,4,2,0,0,1
15,2,2,392,2,1.0,4,1,3,4.0,23,3,3.0,1,4,1,1,0,1
18,2,4,6260,2,4.0,3,4,3,3.0,28,3,3.0,1,3,1,0,0,1
36,1,4,7855,2,3.0,4,1,3,2.0,25,2,1.0,2,4,1,1,0,0
12,2,1,1680,3,2.0,3,3,3,1.0,35,3,1.0,1,4,1,0,0,1
48,1,1,3578,1,2.0,4,4,3,1.0,47,3,1.0,1,4,1,1,0,1
42,2,1,7174,1,4.0,4,1,3,3.0,30,3,1.0,1,1,1,1,0,0
10,1,3,2132,1,1.0,2,1,2,3.0,27,3,3.0,2,4,1,0,1,1
33,1,3,4281,3,3.0,1,1,3,4.0,23,3,1.0,2,4,1,0,0,0
12,1,4,2366,3,4.0,3,2,3,3.0,36,3,1.0,1,1,1,1,0,1
21,2,1,1835,2,3.0,3,1,3,2.0,25,3,1.0,2,4,1,1,0,0
24,1,5,3868,2,2.0,4,1,3,2.0,41,3,3.0,2,1,1,1,0,1
12,2,3,1768,2,3.0,3,4,3,2.0,24,3,3.0,1,3,1,0,0,1
10,1,4,781,2,2.0,4,4,3,4.0,63,3,2.0,2,4,1,1,0,1
18,2,3,1924,1,1.0,4,1,3,3.0,27,3,3.0,1,4,1,0,0,0
12,1,4,2121,2,3.0,4,4,3,2.0,30,3,1.0,2,4,1,0,0,1
12,2,1,701,2,3.0,4,3,3,2.0,40,3,1.0,1,3,1,0,0,1
12,2,8,639,2,3.0,4,4,3,2.0,30,3,1.0,1,4,1,0,0,0
12,1,5,1860,2,5.0,4,4,3,2.0,34,3,1.0,2,1,1,1,0,1
12,1,4,3499,2,3.0,3,1,2,2.0,29,3,1.0,2,4,1,0,0,0
48,2,4,8487,1,4.0,1,1,3,2.0,24,3,1.0,1,4,1,0,0,1
36,3,2,6887,2,3.0,4,4,3,3.0,29,2,1.0,1,4,1,1,0,0
15,2,3,2708,2,1.0,2,4,3,3.0,27,1,1.0,2,3,1,0,0,1
18,2,3,1984,2,3.0,4,4,3,4.0,47,1,2.0,2,4,1,0,0,1
60,2,1,10144,5,4.0,2,1,3,4.0,21,3,1.0,1,4,1,1,0,1
12,1,1,1240,1,2.0,4,1,3,2.0,38,3,1.0,2,4,1,1,0,1
27,3,5,8613,4,3.0,2,4,3,2.0,27,3,1.0,2,4,1,0,0,1
12,2,1,766,3,3.0,4,4,3,3.0,66,3,1.0,1,3,1,0,0,0
15,1,1,2728,1,4.0,4,4,4,2.0,35,1,1.0,3,4,1,1,0,1
12,2,1,1881,2,3.0,2,1,3,2.0,44,3,3.0,1,3,1,1,0,1
11,3,1,4771,2,3.0,2,4,3,4.0,51,3,1.0,1,4,1,0,0,1
6,2,4,709,4,1.0,2,3,3,2.0,27,3,1.0,1,2,1,0,1,1
36,2,1,4795,2,1.0,4,1,3,1.0,30,3,1.0,1,1,1,1,0,1
27,2,1,3416,2,3.0,3,4,3,2.0,27,3,1.0,1,1,1,0,0,1
18,2,3,2462,2,3.0,2,4,3,2.0,22,3,1.0,1,4,1,0,0,0
48,5,6,3566,5,4.0,4,4,3,2.0,30,3,1.0,1,4,1,0,0,1
6,1,4,860,2,2.0,1,1,3,4.0,39,3,1.0,2,4,1,1,0,1
12,1,4,682,5,4.0,4,1,3,3.0,51,3,1.0,2,4,1,1,0,1
36,1,3,5371,2,3.0,3,4,4,2.0,28,3,1.0,2,4,1,0,0,1
18,1,1,1582,4,2.0,4,4,3,4.0,46,3,1.0,2,4,1,0,0,1
6,2,1,1346,5,2.0,2,4,3,4.0,42,1,2.0,1,4,2,1,0,1
10,2,1,1924,2,3.0,1,4,3,4.0,38,3,1.0,1,4,1,1,1,1
36,2,1,5848,2,3.0,4,4,3,1.0,24,3,1.0,1,4,1,0,0,1
24,1,5,7758,4,2.0,2,1,3,4.0,29,3,3.0,1,4,1,0,0,1
24,3,6,6967,5,4.0,4,4,3,4.0,36,3,3.0,1,1,1,1,0,1
12,2,3,1282,2,3.0,2,1,3,4.0,20,3,3.0,1,4,1,0,0,0
9,1,8,1288,5,2.0,3,4,4,4.0,48,3,1.0,2,4,2,0,1,1
12,5,10,339,2,2.0,4,3,3,1.0,45,1,1.0,1,3,1,0,0,1
24,2,4,3512,5,4.0,2,4,3,3.0,38,1,1.0,2,4,1,1,0,1
6,1,1,1898,1,3.0,1,4,3,2.0,34,3,1.0,2,3,2,0,0,1
24,1,1,2872,5,2.0,3,4,3,4.0,36,3,1.0,1,4,2,1,0,1
18,1,4,1055,2,1.0,4,1,3,1.0,30,3,1.0,2,4,1,0,0,1
15,2,7,1262,3,4.0,4,4,3,3.0,36,3,1.0,2,4,1,1,0,1
10,2,4,7308,2,5.0,2,4,3,4.0,70,1,2.0,1,1,1,1,0,1
36,2,4,909,3,2.0,4,4,3,4.0,36,3,1.0,1,4,1,0,0,1
6,2,3,2978,3,3.0,1,4,3,2.0,32,3,1.0,1,4,1,1,0,1
18,2,3,1131,2,5.0,4,1,3,2.0,33,3,1.0,1,4,1,0,0,0
11,2,3,1577,4,1.0,4,1,3,1.0,20,3,1.0,1,4,1,0,0,1
24,1,6,1935,2,2.0,4,2,3,4.0,31,3,1.0,2,4,1,1,0,0
15,4,4,950,2,2.0,4,4,3,3.0,33,3,3.0,2,4,2,0,0,0
12,2,3,763,2,3.0,4,1,3,1.0,26,3,1.0,1,4,1,1,0,1
24,3,3,2064,2,5.0,3,1,3,2.0,34,3,1.0,1,1,1,1,0,0
21,3,2,3414,2,1.0,2,4,3,1.0,26,3,1.0,2,4,1,0,0,0
30,5,5,7485,1,5.0,4,1,3,1.0,53,1,1.0,1,1,1,1,0,0
12,2,3,2577,2,3.0,2,2,3,1.0,42,3,1.0,1,4,1,0,0,1
6,1,1,338,3,2.0,4,4,3,4.0,52,3,1.0,2,4,1,0,0,1
12,2,1,1963,2,4.0,4,4,3,2.0,31,3,3.0,2,1,2,1,0,1
21,1,4,571,2,2.0,4,4,3,4.0,65,3,1.0,2,4,1,0,0,1
36,3,6,9572,2,1.0,1,2,3,1.0,28,3,1.0,2,4,1,0,0,0
36,3,6,4455,2,3.0,2,2,3,2.0,30,2,1.0,2,1,1,1,0,0
21,5,4,1647,1,3.0,4,4,3,2.0,40,3,1.0,2,3,2,0,0,0
24,1,3,3777,4,3.0,4,4,3,4.0,50,3,1.0,1,4,1,1,0,1
18,1,4,884,2,2.0,4,4,3,4.0,36,1,1.0,1,4,2,1,0,0
15,1,1,1360,2,3.0,4,4,3,2.0,31,3,1.0,2,4,1,0,0,1
9,5,5,5129,2,2.0,2,1,3,4.0,74,1,2.0,1,1,2,1,0,0
16,1,4,1175,2,5.0,2,4,3,3.0,68,3,2.0,3,2,1,1,0,1
12,2,1,674,5,4.0,4,3,3,1.0,20,3,1.0,1,4,1,0,0,0
18,4,3,3244,2,3.0,1,1,3,4.0,33,1,1.0,2,4,1,1,0,1
24,2,6,4591,4,3.0,2,4,3,3.0,54,3,1.0,3,1,1,1,0,0
48,4,6,3844,5,4.0,4,4,3,4.0,34,3,2.0,1,3,2,0,0,0
27,2,6,3915,2,3.0,4,4,3,2.0,36,3,1.0,1,4,2,1,0,0
6,2,1,2108,2,4.0,2,3,3,2.0,29,3,3.0,1,4,1,0,0,1
45,2,1,3031,5,3.0,4,4,4,4.0,21,3,3.0,1,4,1,0,0,0
9,1,2,1501,2,2.0,2,1,3,3.0,34,3,1.0,2,1,1,1,0,0
6,1,1,1382,2,3.0,1,1,3,1.0,28,3,1.0,2,4,1,1,0,1
12,2,3,951,5,1.0,4,1,3,4.0,27,1,3.0,4,4,1,0,0,0
9,1,2,936,3,2.0,4,4,3,2.0,52,3,1.0,2,4,1,1,0,1
12,2,4,1168,2,3.0,4,3,3,3.0,27,3,1.0,1,3,1,0,0,1
27,3,6,5117,2,4.0,3,4,3,4.0,26,3,1.0,2,4,1,0,0,1
12,2,10,902,2,4.0,4,3,3,4.0,21,3,3.0,1,4,1,0,0,0
12,1,4,1495,2,2.0,4,4,3,1.0,38,3,1.0,2,3,2,0,0,1
30,1,5,10623,2,2.0,3,4,3,4.0,38,3,2.0,3,1,2,1,0,1
12,1,3,1935,2,2.0,4,4,3,4.0,43,3,1.0,3,4,1,1,0,1
12,1,7,1424,2,4.0,4,4,3,3.0,26,3,1.0,1,4,1,0,0,1
24,2,6,6568,2,3.0,2,3,3,2.0,21,2,1.0,1,3,1,0,0,1
12,2,5,1413,4,4.0,3,4,3,2.0,55,3,1.0,1,4,1,0,1,1
24,0,3,3972,2,4.0,2,1,3,4.0,25,3,3.0,1,4,1,1,0,1
21,1,3,2288,2,3.0,4,1,3,4.0,23,3,1.0,1,4,1,1,0,1
8,2,1,1414,2,3.0,4,4,4,2.0,33,3,1.0,1,999,1,0,1,1
9,1,1,3074,1,3.0,1,4,3,2.0,33,3,1.0,2,4,2,0,0,1
36,2,1,3835,1,2.0,2,1,3,4.0,45,3,1.0,1,3,1,1,0,1
27,4,6,5293,2,5.0,2,4,3,4.0,50,2,1.0,2,4,1,1,0,0
30,3,6,1908,2,2.0,4,4,3,4.0,66,3,1.0,1,1,1,1,0,0
36,1,1,3342,1,2.0,4,4,3,2.0,51,3,1.0,1,4,1,1,0,1
6,1,10,932,1,4.0,1,1,3,3.0,39,3,1.0,2,3,1,0,0,1
18,4,6,3104,2,4.0,3,4,3,1.0,31,1,1.0,1,4,1,1,0,1
36,2,1,3913,2,3.0,2,4,3,2.0,23,3,1.0,1,4,1,1,0,1
24,2,3,3021,2,3.0,2,2,3,2.0,24,3,3.0,1,3,1,0,0,1
10,2,4,1364,2,3.0,2,1,3,4.0,64,3,1.0,1,4,1,1,0,1
12,2,1,625,2,1.0,4,3,4,1.0,26,1,1.0,1,3,1,0,0,1
12,2,2,1200,1,3.0,4,1,3,4.0,23,1,3.0,1,4,1,1,0,1
12,2,1,707,2,3.0,4,4,3,2.0,30,1,1.0,2,4,1,0,0,1
24,3,6,2978,1,3.0,4,4,3,4.0,32,3,1.0,2,4,2,1,0,1
15,2,5,4657,2,3.0,3,4,3,2.0,30,3,1.0,1,4,1,1,0,1
36,4,8,2613,2,3.0,4,4,3,2.0,27,3,1.0,2,4,1,0,0,1
48,2,1,10961,4,4.0,1,4,2,2.0,27,1,1.0,2,4,1,1,0,0
12,2,3,7865,2,2.0,4,4,3,4.0,53,3,2.0,1,1,1,1,0,0
9,2,1,1478,2,4.0,4,4,3,2.0,22,3,1.0,1,4,1,0,0,0
24,2,3,3149,2,1.0,4,4,3,1.0,22,1,2.0,1,4,1,0,0,1
36,2,1,4210,2,3.0,4,4,3,2.0,26,3,1.0,1,4,1,0,0,0
9,2,4,2507,3,2.0,2,4,3,4.0,51,3,2.0,1,3,1,0,0,1
4,1,1,1544,2,4.0,2,4,3,1.0,42,3,1.0,3,3,2,0,0,1
24,2,1,1823,2,5.0,4,4,3,2.0,30,2,1.0,1,1,2,0,0,0
6,2,4,14555,1,5.0,1,4,3,2.0,23,3,1.0,1,2,1,1,0,0
21,2,6,2767,5,2.0,4,2,3,2.0,61,1,3.0,2,3,1,0,0,0
12,1,1,1291,2,3.0,4,1,3,2.0,35,3,1.0,2,4,1,0,0,1
30,2,1,2522,2,2.0,1,4,4,3.0,39,3,1.0,1,4,2,0,0,1
24,2,4,915,1,2.0,4,1,3,2.0,29,1,1.0,1,4,1,0,0,0
6,2,1,1595,2,4.0,3,4,3,2.0,51,3,1.0,1,4,2,0,0,1
48,4,5,4605,2,2.0,3,4,3,4.0,24,3,2.0,2,4,2,0,0,0
12,1,6,1185,2,3.0,3,1,3,2.0,27,3,1.0,2,4,1,0,0,1
12,5,10,3447,3,3.0,4,1,3,3.0,35,3,1.0,1,3,2,0,0,1
24,2,6,1258,2,4.0,4,4,3,1.0,25,3,1.0,1,4,1,1,0,1
12,1,1,717,2,2.0,4,4,3,4.0,52,3,1.0,3,4,1,0,0,1
6,4,4,1204,5,3.0,4,4,3,1.0,35,1,3.0,1,4,1,0,1,1
24,2,3,1925,2,3.0,2,4,3,2.0,26,3,1.0,1,4,1,0,0,1
18,2,1,433,2,5.0,3,1,2,4.0,22,3,3.0,1,4,1,0,0,0
6,1,4,666,4,4.0,3,1,3,4.0,39,3,1.0,2,3,1,1,0,1
12,2,3,2251,2,3.0,1,1,3,2.0,46,3,1.0,1,3,1,0,0,1
30,2,4,2150,2,3.0,4,1,4,2.0,24,1,1.0,1,4,1,0,0,0
24,3,3,4151,5,3.0,2,4,3,3.0,35,3,1.0,2,4,1,0,0,1
9,2,3,2030,1,4.0,2,4,3,1.0,24,3,1.0,1,4,1,1,0,1
60,3,1,7418,1,3.0,1,4,3,1.0,27,3,1.0,1,3,1,0,0,1
24,1,1,2684,2,3.0,4,4,3,2.0,35,3,1.0,2,3,1,0,0,1
12,5,1,2149,2,3.0,4,2,3,1.0,29,3,2.0,1,4,1,0,0,0
15,2,5,3812,5,1.0,1,1,3,4.0,23,3,1.0,1,4,1,1,0,1
11,1,1,1154,5,5.0,4,1,3,4.0,57,3,1.0,3,3,1,0,0,1
12,2,3,1657,2,3.0,2,4,3,2.0,27,3,1.0,1,4,1,0,0,1
24,2,1,1603,2,2.0,4,1,3,4.0,55,3,1.0,1,4,1,0,0,1
18,1,4,5302,2,2.0,2,4,3,4.0,36,3,2.0,3,1,1,1,0,1
12,1,2,2748,2,2.0,2,1,3,4.0,57,1,2.0,3,3,1,0,0,1
10,1,4,1231,2,2.0,3,4,3,4.0,32,3,1.0,2,3,2,0,1,1
15,2,1,802,2,2.0,4,4,3,3.0,37,3,1.0,1,4,2,0,0,0
36,1,6,6304,1,2.0,4,4,3,4.0,36,3,1.0,2,4,1,0,0,1
24,2,1,1533,2,1.0,4,1,3,3.0,38,2,1.0,1,4,1,1,0,1
14,2,4,8978,2,2.0,1,2,3,4.0,45,3,1.0,1,1,1,1,1,0
18,2,4,2662,1,4.0,4,4,3,3.0,32,3,1.0,1,4,1,0,1,1
12,1,3,1402,3,4.0,3,1,3,4.0,37,3,3.0,1,4,1,1,0,1
48,5,4,12169,1,5.0,4,4,2,4.0,36,3,2.0,1,1,1,1,0,1
48,2,1,3060,2,4.0,4,4,3,4.0,28,3,1.0,2,4,1,0,0,0
30,2,8,11998,2,1.0,1,2,3,1.0,34,3,1.0,1,3,1,1,0,0
9,2,1,2697,2,3.0,1,4,3,2.0,32,3,1.0,1,4,2,0,0,1
18,1,1,2404,2,3.0,2,1,3,2.0,26,3,1.0,2,4,1,0,0,1
12,2,3,1262,1,2.0,2,2,3,4.0,49,3,1.0,1,3,1,1,0,1
6,2,3,4611,2,1.0,1,1,3,4.0,32,3,1.0,1,4,1,0,0,0
24,2,1,1901,5,3.0,4,4,3,4.0,29,3,3.0,1,1,1,1,0,1
12,0,1,2141,5,4.0,3,4,3,1.0,35,3,1.0,1,4,1,0,0,1
15,1,5,3368,4,2.0,3,4,3,4.0,23,3,3.0,2,4,1,1,0,1
12,2,3,1574,2,3.0,4,4,3,2.0,50,3,1.0,1,4,1,0,0,1
18,5,1,1445,1,4.0,4,4,3,4.0,49,1,1.0,1,3,1,0,0,1
15,1,3,1520,1,2.0,4,4,3,4.0,63,3,1.0,1,4,1,0,0,1
24,1,4,3878,5,1.0,4,2,3,2.0,37,3,1.0,1,4,1,1,0,1
47,2,4,10722,2,1.0,1,1,3,1.0,35,3,1.0,1,3,1,1,0,1
48,2,5,4788,2,4.0,4,4,3,3.0,26,3,1.0,1,4,2,0,0,1
48,3,9,7582,5,5.0,2,4,3,4.0,31,3,2.0,1,1,1,1,0,1
12,2,1,1092,2,3.0,4,1,4,4.0,49,3,1.0,2,4,1,1,0,1
24,3,1,1024,2,1.0,4,3,3,4.0,48,2,1.0,1,4,1,0,0,0
12,2,6,1076,2,3.0,2,3,3,2.0,26,3,1.0,1,4,1,1,1,1
36,2,5,9398,2,1.0,1,3,3,4.0,28,3,3.0,1,1,1,1,0,0
24,1,5,6419,2,2.0,2,1,3,4.0,44,3,2.0,2,1,2,1,0,1
42,1,5,4796,2,2.0,4,4,3,4.0,56,3,2.0,1,4,1,0,0,1
48,1,6,7629,1,2.0,4,2,3,2.0,46,1,1.0,2,1,2,0,0,1
48,2,3,9960,2,1.0,1,1,3,2.0,26,3,1.0,1,4,1,1,0,0
12,2,5,4675,1,1.0,1,1,3,4.0,20,3,3.0,1,4,1,0,0,1
10,2,4,1287,1,2.0,4,4,2,2.0,45,3,1.0,1,3,1,0,1,1
18,2,3,2515,2,3.0,3,4,3,4.0,43,3,1.0,1,4,1,1,0,1
21,1,3,2745,4,4.0,3,4,3,2.0,32,3,1.0,2,4,1,1,0,1
6,2,4,672,2,5.0,1,1,3,4.0,54,3,1.0,1,2,1,1,0,1
36,4,1,3804,2,3.0,4,1,3,1.0,42,3,1.0,1,4,1,1,0,0
24,1,4,1344,1,4.0,4,4,3,2.0,37,1,1.0,2,3,2,0,0,0
10,1,4,1038,2,4.0,4,4,2,3.0,49,3,1.0,2,4,1,1,0,1
48,1,4,10127,3,3.0,2,4,3,2.0,44,1,2.0,1,4,1,0,0,0
6,2,3,1543,4,3.0,4,2,3,2.0,33,3,1.0,1,4,1,0,0,1
30,2,5,4811,1,4.0,2,1,3,4.0,24,2,3.0,1,3,1,0,0,1
12,2,1,727,5,1.0,4,3,3,3.0,33,3,1.0,1,3,1,1,0,0
8,2,3,1237,2,3.0,3,1,3,4.0,24,3,1.0,1,4,1,0,0,0
9,2,4,276,2,3.0,4,3,3,4.0,22,3,3.0,1,3,1,0,0,1
48,2,9,5381,1,5.0,3,4,3,4.0,40,1,2.0,1,2,1,1,0,1
24,2,3,5511,5,3.0,4,4,3,1.0,25,2,1.0,1,4,1,0,0,1
24,2,3,3749,2,1.0,2,1,3,4.0,26,3,1.0,1,4,1,0,0,1
12,2,4,685,2,4.0,2,3,3,3.0,25,1,1.0,1,3,1,0,0,0
4,2,4,1494,1,1.0,1,4,3,2.0,29,3,1.0,1,3,2,0,1,1
